timestamp,T_actual,P_actual_gauge,T_predicted,P_predicted,Q_watts,flow_lpm,water_L,eta_instant,health_score,anomaly_flag,prediction_horizon_s,prediction_target_timestamp,L_predicted
2026-04-29T16:08:08.108474,27.85,0,27.85,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-29T16:09:08.108338,4.202
2026-04-29T16:08:08.155543,27.85,0,27.16,0.0,0.0,1.03,0,0.0,100,0,60.0,2026-04-29T16:09:08.155427,5.231
2026-04-29T16:08:09.117606,27.85,0,27.23,0.0,0.0,1.03,4.199,0.0,100,0,60.0,2026-04-29T16:09:09.117465,5.246
2026-04-29T16:08:09.167068,27.89,0,27.29,0.0,0.0,1.03,4.199,0.0,100,0,60.0,2026-04-29T16:09:09.166951,5.242
2026-04-29T16:08:09.209142,27.89,0,27.31,0.0,0.0,1.03,4.199,0.0,100,0,60.0,2026-04-29T16:09:09.209045,5.24
2026-04-29T16:08:10.192146,27.89,0,27.32,0.0,0.0,1.03,4.199,0.0,100,0,60.0,2026-04-29T16:09:10.191996,5.252
2026-04-29T16:08:10.241357,27.89,0,27.45,0.0,0.0,0.77,4.199,0.0,100,0,60.0,2026-04-29T16:09:10.241235,4.988
2026-04-29T16:08:10.286273,27.89,0,27.45,0.0,0.0,0.77,4.199,0.0,100,0,60.0,2026-04-29T16:09:10.286129,4.985
2026-04-29T16:08:11.238399,27.92,0,27.46,0.0,0.0,0.77,4.199,0.0,100,0,60.0,2026-04-29T16:09:11.238243,4.993
2026-04-29T16:08:11.284361,27.92,0,27.57,0.0,0.0,0.58,4.199,0.0,100,0,60.0,2026-04-29T16:09:11.284228,4.798
2026-04-29T16:08:11.327788,27.92,0,27.57,0.0,0.0,0.58,4.199,0.0,100,0,60.0,2026-04-29T16:09:11.327673,4.795
2026-04-29T16:08:12.307553,27.92,0,27.57,0.0,0.0,0.58,4.199,0.0,100,0,60.0,2026-04-29T16:09:12.307393,4.799
2026-04-29T16:08:12.353314,27.92,0,27.66,0.0,0.0,0.43,4.199,0.0,100,0,60.0,2026-04-29T16:09:12.353188,4.646
2026-04-29T16:08:12.395946,27.92,0,27.66,0.0,0.0,0.43,4.199,0.0,100,0,60.0,2026-04-29T16:09:12.395832,4.643
2026-04-29T16:08:13.347185,27.94,0,27.67,0.0,0.0,0.43,4.199,0.0,100,0,60.0,2026-04-29T16:09:13.347037,4.646
2026-04-29T16:08:13.390988,27.94,0,27.73,0.0,0.0,0.33,4.199,0.0,100,0,60.0,2026-04-29T16:09:13.390875,4.543
2026-04-29T16:08:14.390395,27.94,0,27.74,0.0,0.0,0.33,4.199,0.0,100,0,60.0,2026-04-29T16:09:14.390232,4.546
2026-04-29T16:08:14.442162,27.98,0,27.81,0.0,0.0,0.24,4.199,0.0,100,0,60.0,2026-04-29T16:09:14.442030,4.452
2026-04-29T16:08:14.485765,27.98,0,27.81,0.0,0.0,0.24,4.199,0.0,100,0,60.0,2026-04-29T16:09:14.485618,4.449
2026-04-29T16:08:15.435879,28.01,0,27.82,0.0,0.0,0.24,4.199,0.0,100,0,60.0,2026-04-29T16:09:15.435668,4.451
2026-04-29T16:08:15.486002,28.01,0,27.87,0.0,0.0,0.18,4.199,0.0,100,0,60.0,2026-04-29T16:09:15.485856,4.388
2026-04-29T16:08:15.529997,28.01,0,27.87,0.0,0.0,0.18,4.199,0.0,100,0,60.0,2026-04-29T16:09:15.529844,4.387
2026-04-29T16:08:16.494392,28.05,0,27.89,0.0,0.0,0.18,4.199,0.0,100,0,60.0,2026-04-29T16:09:16.494250,4.388
2026-04-29T16:08:16.540991,28.05,0,27.94,0.0,0.0,0.14,4.199,0.0,100,0,60.0,2026-04-29T16:09:16.540864,4.346
2026-04-29T16:08:16.583722,28.05,0,27.94,0.0,0.0,0.14,4.199,0.0,100,0,60.0,2026-04-29T16:09:16.583598,4.345
2026-04-29T16:08:17.531080,28.08,0,27.96,0.0,0.0,0.14,4.199,0.0,100,0,60.0,2026-04-29T16:09:17.530864,4.345
2026-04-29T16:08:17.576412,28.08,0,27.99,0.0,0.0,0.1,4.199,0.0,100,0,60.0,2026-04-29T16:09:17.576287,4.304
2026-04-29T16:08:17.623453,28.08,0,28.0,0.0,0.0,0.1,4.199,0.0,100,0,60.0,2026-04-29T16:09:17.623308,4.303
2026-04-29T16:08:18.605692,28.13,0,28.03,0.0,0.0,0.1,4.199,0.0,100,0,60.0,2026-04-29T16:09:18.605551,4.304
2026-04-29T16:08:18.650118,28.13,0,28.05,0.0,0.0,0.08,4.199,0.0,100,0,60.0,2026-04-29T16:09:18.649969,4.283
