timestamp,T_actual,P_actual_gauge,T_predicted,P_predicted,Q_watts,flow_lpm,water_L,eta_instant,health_score,anomaly_flag,prediction_horizon_s,prediction_target_timestamp,L_predicted
2026-04-29T22:12:50.582221,73.55,0.0414,73.55,0.0414,0.0,0.0,0,0.0,100,0,60.0,2026-04-29T22:13:50.582082,4.291
2026-04-29T22:12:50.618426,73.55,0.0414,76.25,0.0384,1000.0,0.0,0,83.7,100,0,60.0,2026-04-29T22:13:50.618308,4.213
2026-04-29T22:12:51.607162,73.55,0.0414,76.28,0.0554,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:51.607046,4.213
2026-04-29T22:12:51.642162,73.57,0.0373,76.27,0.0617,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:51.642050,4.213
2026-04-29T22:12:51.676569,73.57,0.0373,76.27,0.0637,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:51.676445,4.213
2026-04-29T22:12:52.675251,73.57,0.0373,76.3,0.0657,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:52.675126,4.213
2026-04-29T22:12:52.717507,73.57,0.0373,76.29,0.0643,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:52.717321,4.213
2026-04-29T22:12:52.754775,73.57,0.0373,76.28,0.0653,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:52.754669,4.213
2026-04-29T22:12:53.753515,73.57,0.0373,76.3,0.0665,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:53.751438,4.213
2026-04-29T22:12:53.810630,73.57,0.0498,76.29,0.0727,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:53.810513,4.213
2026-04-29T22:12:53.849803,73.57,0.0498,76.28,0.0751,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:53.849713,4.213
2026-04-29T22:12:54.764532,73.57,0.0405,76.29,0.0754,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:54.764375,4.213
2026-04-29T22:12:54.800306,73.57,0.0506,76.28,0.0775,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:54.800207,4.213
2026-04-29T22:12:54.835186,73.57,0.0506,76.28,0.0784,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:54.835081,4.213
2026-04-29T22:12:55.823867,73.58,0.0491,76.3,0.0778,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:55.823635,4.213
2026-04-29T22:12:55.861089,73.58,0.0491,76.29,0.0782,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:55.860940,4.213
2026-04-29T22:12:56.852712,73.58,0.0491,76.32,0.0788,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:56.852547,4.213
2026-04-29T22:12:56.891107,73.58,0.0481,76.3,0.0779,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:56.890955,4.213
2026-04-29T22:12:56.927983,73.58,0.0481,76.29,0.0779,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:56.927823,4.213
2026-04-29T22:12:57.905397,73.59,0.0481,76.32,0.0782,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:57.905258,4.213
2026-04-29T22:12:57.980659,73.59,0.0491,76.3,0.0783,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:57.962032,4.213
2026-04-29T22:12:58.035193,73.59,0.0491,76.3,0.0786,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:58.035070,4.213
2026-04-29T22:12:58.950437,73.59,0.0491,76.32,0.079,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:58.950297,4.213
2026-04-29T22:12:58.988001,73.59,0.0491,76.31,0.0789,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:58.987895,4.213
2026-04-29T22:12:59.024259,73.59,0.0491,76.3,0.0789,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:59.024141,4.213
2026-04-29T22:12:59.999010,73.59,0.0414,76.32,0.077,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:13:59.998880,4.213
2026-04-29T22:13:00.033874,73.59,0.0446,76.31,0.0759,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:14:00.033752,4.213
2026-04-29T22:13:00.072046,73.59,0.0446,76.3,0.0754,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:14:00.071943,4.213
2026-04-29T22:13:01.072987,73.61,0.0515,76.32,0.0754,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:14:01.072186,4.213
2026-04-29T22:13:01.120711,73.61,0.0515,76.32,0.0778,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:14:01.120562,4.213
2026-04-29T22:13:02.101220,73.61,0.0515,76.35,0.0798,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:14:02.101054,4.213
2026-04-29T22:13:02.147035,73.63,0.0472,76.34,0.0785,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:14:02.146906,4.213
2026-04-29T22:13:02.182751,73.63,0.0472,76.34,0.078,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:14:02.182649,4.213
2026-04-29T22:13:03.154133,73.64,0.0472,76.36,0.0779,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:14:03.153983,4.213
2026-04-29T22:13:03.199008,73.64,0.0472,76.35,0.0772,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:14:03.198851,4.213
2026-04-29T22:13:03.235401,73.64,0.0472,76.35,0.0772,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:14:03.235271,4.213
2026-04-29T22:13:04.206979,73.65,0.0454,76.37,0.0771,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:14:04.206815,4.213
2026-04-29T22:13:04.249440,73.65,0.0531,76.36,0.0797,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:14:04.249316,4.213
2026-04-29T22:13:04.284330,73.65,0.0531,76.36,0.0808,1000.0,0.0,4.199,83.7,100,0,60.0,2026-04-29T22:14:04.284216,4.213
