timestamp,T_actual,P_actual_gauge,T_predicted,P_predicted,Q_watts,flow_lpm,water_L,eta_instant,health_score,anomaly_flag,prediction_horizon_s,prediction_target_timestamp,L_predicted
2026-05-01T00:55:45.880206,114.78,0.3189,107.48,0.3038,0.0,0.0,0,0.0,100,0,60.0,2026-05-01T00:56:45.880049,4.147
2026-05-01T00:55:47.302252,114.78,0.3189,99.97,0.0001,1000.0,0.0,0,69.8,100,0,60.0,2026-05-01T00:56:47.302046,22.829
2026-05-01T00:55:50.018439,114.78,0.3189,99.97,0.0001,1000.0,0.0,4.199,69.8,100,0,60.0,2026-05-01T00:56:50.007485,13.715
2026-05-01T00:55:53.282772,114.78,0.3189,99.97,0.0001,1000.0,0.0,4.199,69.8,100,0,60.0,2026-05-01T00:56:53.241075,14.958
2026-05-01T00:55:58.053194,114.78,0.3189,99.97,0.0001,1000.0,0.0,4.199,69.8,100,0,60.0,2026-05-01T00:56:58.037604,3.279
2026-05-01T00:56:05.436510,114.77,0.3189,99.97,0.0001,1000.0,0.0,4.199,69.8,100,0,60.0,2026-05-01T00:57:05.416968,1.405
2026-05-01T00:56:11.978593,114.77,0.3105,99.97,0.0001,1000.0,0.0,4.199,69.8,100,0,60.0,2026-05-01T00:57:11.976420,10.977
2026-05-01T00:56:15.485373,114.77,0.3105,99.97,0.0001,1000.0,0.0,4.199,69.8,100,0,60.0,2026-05-01T00:57:15.398985,11.752
2026-05-01T00:56:18.220506,114.77,0.3055,99.97,0.0001,1000.0,0.0,4.199,69.8,0,1,60.0,2026-05-01T00:57:18.119345,14.57
2026-05-01T00:56:23.539974,114.77,0.3105,99.97,0.0001,1000.0,0.0,4.199,69.8,0,1,60.0,2026-05-01T00:57:23.481754,0.782
2026-05-01T00:56:28.486300,114.77,0.3105,99.97,0.0001,1000.0,0.0,4.199,69.8,0,1,60.0,2026-05-01T00:57:28.485749,4.173
2026-05-01T00:56:32.388726,114.75,0.3139,99.97,0.0001,1000.0,0.0,4.199,69.8,0,1,60.0,2026-05-01T00:57:32.265133,8.821
2026-05-01T00:56:35.773870,114.75,0.3145,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:57:35.772035,5.532
2026-05-01T00:56:39.298844,114.75,0.3145,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:57:39.245770,13.072
2026-05-01T00:56:42.581307,114.74,0.3139,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:57:42.544845,10.092
2026-05-01T00:56:45.971726,114.74,0.3139,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:57:45.931251,13.325
2026-05-01T00:56:49.733811,114.74,0.3139,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:57:49.733219,9.482
2026-05-01T00:56:52.915798,114.73,0.3173,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:57:52.786419,14.301
2026-05-01T00:56:55.948314,114.73,0.3173,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:57:55.902974,11.009
2026-05-01T00:56:58.765117,114.71,0.3173,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:57:58.674727,4.916
2026-05-01T00:57:02.678833,114.71,0.3204,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:58:02.542908,3.077
2026-05-01T00:57:05.321643,114.71,0.3204,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:58:05.321401,14.253
2026-05-01T00:57:07.995978,114.7,0.3154,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:58:07.977996,3.43
2026-05-01T00:57:10.959934,114.7,0.3139,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:58:10.691091,16.295
2026-05-01T00:57:13.883551,114.7,0.3139,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:58:13.862113,5.73
2026-05-01T00:57:16.531283,114.7,0.3087,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:58:16.521328,16.541
2026-05-01T00:57:20.229912,114.7,0.3087,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:58:20.225516,1.837
2026-05-01T00:57:23.267454,114.7,0.3087,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:58:23.267219,3.808
2026-05-01T00:57:26.524375,114.69,0.3147,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:58:26.522413,2.066
2026-05-01T00:57:34.608053,114.69,0.3147,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:58:34.606696,0.039
2026-05-01T00:57:37.128677,114.69,0.3147,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:58:37.128500,17.686
2026-05-01T00:57:39.732737,114.68,0.3145,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:58:39.726018,4.775
2026-05-01T00:57:44.629186,114.68,0.3145,99.97,0.0001,1000.0,0.0,4.199,69.9,0,1,60.0,2026-05-01T00:58:44.628408,0.074
