timestamp,T_actual,P_actual_gauge,T_predicted,P_predicted,Q_watts,flow_lpm,water_L,eta_instant,health_score,anomaly_flag,prediction_horizon_s,prediction_target_timestamp,L_predicted
2026-05-01T23:47:49.414136,99.39,0,99.39,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-05-01T23:48:49.413348,4.366
2026-05-01T23:47:49.770200,99.39,0,103.25,0.1244,1000.0,0.0,0,75.0,100,0,60.0,2026-05-01T23:48:49.769858,1.506
2026-05-01T23:47:50.579906,99.39,0,103.3,0.1267,1000.0,0.0,4.199,75.0,100,0,60.0,2026-05-01T23:48:50.579735,1.506
2026-05-01T23:47:50.808214,99.43,0,103.34,0.1281,1000.0,0.0,4.199,75.0,100,0,60.0,2026-05-01T23:48:50.808040,1.506
2026-05-01T23:47:51.048869,99.43,0,103.36,0.1292,1000.0,0.0,4.199,75.0,100,0,60.0,2026-05-01T23:48:51.048651,1.506
2026-05-01T23:47:51.660910,99.43,0,103.39,0.13,1000.0,0.0,4.199,75.0,100,0,60.0,2026-05-01T23:48:51.642300,1.506
2026-05-01T23:47:51.940838,99.43,0,103.39,0.1302,1000.0,0.0,4.199,75.0,100,0,60.0,2026-05-01T23:48:51.940655,1.506
2026-05-01T23:47:52.152659,99.43,0,103.39,0.1302,1000.0,0.0,4.199,75.0,100,0,60.0,2026-05-01T23:48:52.152448,1.506
2026-05-01T23:47:52.675751,99.48,0,103.41,0.1311,1000.0,0.0,4.199,75.0,100,0,60.0,2026-05-01T23:48:52.675610,1.506
2026-05-01T23:47:52.909837,99.48,0,103.47,0.1334,1000.0,0.0,4.199,75.0,100,0,60.0,2026-05-01T23:48:52.909663,1.506
2026-05-01T23:47:53.141274,99.48,0,103.5,0.1345,1000.0,0.0,4.199,75.0,100,0,60.0,2026-05-01T23:48:53.141081,1.506
2026-05-01T23:47:53.805481,99.48,0,103.52,0.1354,1000.0,0.0,4.199,75.0,100,0,60.0,2026-05-01T23:48:53.805192,1.506
2026-05-01T23:47:54.036259,99.48,0,103.53,0.1356,1000.0,0.0,4.199,75.0,100,0,60.0,2026-05-01T23:48:54.036093,1.506
2026-05-01T23:47:54.271278,99.48,0,103.53,0.1356,1000.0,0.0,4.199,75.0,100,0,60.0,2026-05-01T23:48:54.271047,1.506
2026-05-01T23:47:54.963326,99.53,0,103.57,0.1375,1000.0,0.0,4.199,75.0,100,0,60.0,2026-05-01T23:48:54.962931,1.507
2026-05-01T23:47:55.218933,99.53,0,103.6,0.1388,1000.0,0.0,4.199,75.0,100,0,60.0,2026-05-01T23:48:55.218714,1.507
2026-05-01T23:47:57.798867,99.53,0,103.62,0.1395,1000.0,0.0,4.199,75.0,100,0,60.0,2026-05-01T23:48:57.742472,1.507
2026-05-01T23:47:58.703545,99.57,0,103.75,0.1447,1000.0,0.0,4.199,75.0,100,0,60.0,2026-05-01T23:48:58.703320,1.507
2026-05-01T23:47:58.907216,99.57,0,103.73,0.144,1000.0,0.0,4.199,75.0,100,0,60.0,2026-05-01T23:48:58.907038,1.507
2026-05-01T23:47:59.113636,99.61,0,103.74,0.1442,1000.0,0.0,4.199,74.9,100,0,60.0,2026-05-01T23:48:59.113491,1.507
2026-05-01T23:47:59.314943,99.61,0,103.79,0.1464,1000.0,0.0,4.199,74.9,100,0,60.0,2026-05-01T23:48:59.314795,1.507
2026-05-01T23:47:59.522943,99.61,0,103.82,0.1475,1000.0,0.0,4.199,74.9,100,0,60.0,2026-05-01T23:48:59.522782,1.507
2026-05-01T23:47:59.736524,99.66,0,103.85,0.1486,1000.0,0.0,4.199,74.9,100,0,60.0,2026-05-01T23:48:59.736310,1.507
2026-05-01T23:48:00.044078,99.66,0,103.9,0.1507,1000.0,0.0,4.199,74.9,100,0,60.0,2026-05-01T23:49:00.043917,1.507
2026-05-01T23:48:00.332365,99.66,0,103.95,0.1529,1000.0,0.0,4.199,74.9,100,0,60.0,2026-05-01T23:49:00.332169,1.507
2026-05-01T23:48:00.534325,99.71,0,103.98,0.154,1000.0,0.0,4.199,74.9,100,0,60.0,2026-05-01T23:49:00.534149,1.507
2026-05-01T23:48:00.736593,99.71,0,104.03,0.1561,1000.0,0.0,4.199,74.9,100,0,60.0,2026-05-01T23:49:00.736423,1.507
2026-05-01T23:48:00.958327,99.71,0,104.06,0.1572,1000.0,0.0,4.199,74.9,100,0,60.0,2026-05-01T23:49:00.958192,1.508
2026-05-01T23:48:01.146272,99.75,0,104.11,0.1594,1000.0,0.0,4.199,74.9,100,0,60.0,2026-05-01T23:49:01.146118,1.507
2026-05-01T23:48:01.345435,99.75,0,104.16,0.1615,1000.0,0.0,4.199,74.9,100,0,60.0,2026-05-01T23:49:01.345119,1.509
2026-05-01T23:48:01.528792,99.75,0,104.19,0.1625,1000.0,0.0,4.199,74.9,100,0,60.0,2026-05-01T23:49:01.528637,1.51
2026-05-01T23:48:01.717333,99.79,0,104.24,0.1644,1000.0,0.0,4.199,74.9,100,0,60.0,2026-05-01T23:49:01.717185,1.511
2026-05-01T23:48:01.898747,99.79,0,104.26,0.1654,1000.0,0.0,4.199,74.9,100,0,60.0,2026-05-01T23:49:01.898590,1.511
2026-05-01T23:48:02.105901,99.84,0,104.29,0.1667,1000.0,0.0,4.199,74.9,100,0,60.0,2026-05-01T23:49:02.092888,1.512
2026-05-01T23:48:02.392541,99.84,0,104.37,0.17,1000.0,0.0,4.199,74.9,100,0,60.0,2026-05-01T23:49:02.392386,1.512
2026-05-01T23:48:02.578464,99.84,0,104.4,0.1711,1000.0,0.0,4.199,74.9,100,0,60.0,2026-05-01T23:49:02.578345,1.512
2026-05-01T23:48:03.138238,99.9,0,104.48,0.1742,1000.0,0.0,4.199,74.8,100,0,60.0,2026-05-01T23:49:03.138070,1.512
2026-05-01T23:48:03.350568,99.9,0,104.54,0.1767,1000.0,0.0,4.199,74.8,100,0,60.0,2026-05-01T23:49:03.350384,1.511
2026-05-01T23:48:03.566934,99.9,0,104.6,0.1794,1000.0,0.0,4.199,74.8,100,0,60.0,2026-05-01T23:49:03.566819,1.509
2026-05-01T23:48:04.279980,99.97,0,104.68,0.1825,1000.0,0.0,4.199,74.8,100,0,60.0,2026-05-01T23:49:04.255886,1.508
2026-05-01T23:48:04.566974,99.97,0,104.73,0.185,1000.0,0.0,4.199,74.8,100,0,60.0,2026-05-01T23:49:04.566795,1.508
2026-05-01T23:48:04.839999,99.97,0,104.76,0.1859,1000.0,0.0,4.199,74.8,100,0,60.0,2026-05-01T23:49:04.839839,1.508
2026-05-01T23:48:05.413157,100.01,0,104.8,0.1875,1000.0,0.0,4.199,74.8,100,0,60.0,2026-05-01T23:49:05.412986,1.508
2026-05-01T23:48:05.704213,100.01,0,104.86,0.1902,1000.0,0.0,4.199,74.8,100,0,60.0,2026-05-01T23:49:05.704063,1.505
2026-05-01T23:48:06.412944,100.01,0,105.43,0.2143,1000.0,0.0,4.199,74.8,100,0,60.0,2026-05-01T23:49:06.412758,1.389
2026-05-01T23:48:06.676789,100.07,0,102.4,0.0911,1000.0,0.0,4.199,74.8,100,0,60.0,2026-05-01T23:49:06.676639,3.912
2026-05-01T23:48:06.991061,100.07,0,102.43,0.0924,1000.0,0.0,4.199,74.8,100,0,60.0,2026-05-01T23:49:06.990913,3.876
2026-05-01T23:48:07.344748,100.12,0,102.47,0.0937,1000.0,0.0,4.199,74.8,100,0,60.0,2026-05-01T23:49:07.344593,3.874
2026-05-01T23:48:07.672305,100.12,0,102.48,0.0944,1000.0,0.0,4.199,74.8,100,0,60.0,2026-05-01T23:49:07.672142,3.873
2026-05-01T23:48:07.991597,100.12,0,102.5,0.0949,1000.0,0.0,4.199,74.8,100,0,60.0,2026-05-01T23:49:07.991441,3.869
2026-05-01T23:48:08.446282,100.16,0,102.53,0.0962,1000.0,0.0,4.199,74.8,96,0,60.0,2026-05-01T23:49:08.446148,3.878
2026-05-01T23:48:08.816697,100.16,0,105.25,0.2063,1000.0,0.0,4.199,74.8,96,0,60.0,2026-05-01T23:49:08.816551,1.483
2026-05-01T23:48:09.158198,100.16,0,102.53,0.0962,1000.0,0.0,4.199,74.8,96,0,60.0,2026-05-01T23:49:09.158044,3.867
2026-05-01T23:48:09.581676,100.18,0,105.26,0.2071,1000.0,0.0,4.199,74.7,96,0,60.0,2026-05-01T23:49:09.581550,1.485
2026-05-01T23:48:09.913347,100.18,0,102.54,0.0967,1000.0,0.0,4.199,74.7,96,0,60.0,2026-05-01T23:49:09.912849,3.867
2026-05-01T23:48:10.342157,100.18,0,102.55,0.097,1000.0,0.0,4.199,74.7,96,0,60.0,2026-05-01T23:49:10.335701,3.864
2026-05-01T23:48:10.667969,100.22,0,102.54,0.0968,1000.0,0.0,4.199,74.7,93,0,60.0,2026-05-01T23:49:10.667794,3.87
2026-05-01T23:48:10.990451,100.22,0,102.55,0.0971,1000.0,0.0,4.199,74.7,93,0,60.0,2026-05-01T23:49:10.990293,3.868
