timestamp,T_actual,P_actual_gauge,T_predicted,P_predicted,Q_watts,flow_lpm,water_L,eta_instant,health_score,anomaly_flag,prediction_horizon_s,prediction_target_timestamp,L_predicted
2026-05-01T01:01:31.775503,111.25,0.0945,102.35,0.0891,0.0,0.0,0,0.0,100,0,60.0,2026-05-01T01:02:31.775321,4.095
2026-05-01T01:01:33.972104,111.25,0.0945,126.11,1.3896,1000.0,0.0,0,71.0,100,0,60.0,2026-05-01T01:02:33.795851,0.0
2026-05-01T01:01:37.367510,111.25,0.0945,126.13,1.3911,1000.0,0.0,4.199,71.0,100,0,60.0,2026-05-01T01:02:37.285561,0.0
