timestamp,T_actual,P_actual_gauge,T_predicted,P_predicted,Q_watts,flow_lpm,water_L,eta_instant,health_score,anomaly_flag,prediction_horizon_s,prediction_target_timestamp,L_predicted
2026-05-02T00:22:43.294957,37.61,0,37.61,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-05-02T00:23:43.294845,4.215
2026-05-02T00:22:43.373681,37.61,0,40.17,0.0,1000.0,0.07,0,95.8,100,0,60.0,2026-05-02T00:23:43.373528,4.276
2026-05-02T00:22:44.327649,37.61,0,40.32,0.0,1000.0,0.07,4.199,95.8,100,0,60.0,2026-05-02T00:23:44.327413,4.277
2026-05-02T00:22:44.407185,37.63,0,40.38,0.0,1000.0,0.07,4.199,95.8,100,0,60.0,2026-05-02T00:23:44.406981,4.277
2026-05-02T00:22:44.484609,37.63,0,40.4,0.0,1000.0,0.07,4.199,95.8,100,0,60.0,2026-05-02T00:23:44.484418,4.276
2026-05-02T00:22:45.393245,37.63,0,40.45,0.0,1000.0,0.07,4.199,95.8,100,0,60.0,2026-05-02T00:23:45.393058,4.277
2026-05-02T00:22:45.471658,37.63,0,40.51,0.0,1000.0,0.05,4.199,95.8,100,0,60.0,2026-05-02T00:23:45.471430,4.257
2026-05-02T00:22:45.549948,37.63,0,40.51,0.0,1000.0,0.05,4.199,95.8,100,0,60.0,2026-05-02T00:23:45.549786,4.257
2026-05-02T00:22:46.450259,37.63,0.0028,40.53,0.0,1000.0,0.05,4.199,95.8,100,0,60.0,2026-05-02T00:23:46.450065,4.257
2026-05-02T00:22:46.525941,37.63,0.0097,40.55,0.0,1000.0,0.04,4.199,95.8,100,0,60.0,2026-05-02T00:23:46.525752,4.247
2026-05-02T00:22:46.602486,37.63,0.0097,40.55,0.0,1000.0,0.04,4.199,95.8,100,0,60.0,2026-05-02T00:23:46.602316,4.247
2026-05-02T00:22:47.507985,37.63,0.0156,40.56,0.0075,1000.0,0.04,4.199,95.8,100,0,60.0,2026-05-02T00:23:47.507784,4.247
2026-05-02T00:22:47.586912,37.63,0.0156,40.59,0.0129,1000.0,0.03,4.199,95.8,100,0,60.0,2026-05-02T00:23:47.586728,4.237
2026-05-02T00:22:47.666078,37.63,0.0156,40.59,0.0152,1000.0,0.03,4.199,95.8,100,0,60.0,2026-05-02T00:23:47.665890,4.237
2026-05-02T00:22:48.563337,37.65,0.01,40.61,0.0158,1000.0,0.03,4.199,95.7,100,0,60.0,2026-05-02T00:23:48.563159,4.237
2026-05-02T00:22:48.640495,37.65,0.01,40.64,0.0151,1000.0,0.02,4.199,95.7,100,0,60.0,2026-05-02T00:23:48.640275,4.227
2026-05-02T00:22:49.573139,37.65,0.01,40.67,0.0146,1000.0,0.02,4.199,95.7,100,0,60.0,2026-05-02T00:23:49.572954,4.227
2026-05-02T00:22:49.649601,37.66,0.0114,40.65,0.0138,1000.0,0.02,4.199,95.7,100,0,60.0,2026-05-02T00:23:49.649413,4.227
2026-05-02T00:22:49.724847,37.66,0.0114,40.65,0.0144,1000.0,0.02,4.199,95.7,100,0,60.0,2026-05-02T00:23:49.724675,4.227
2026-05-02T00:22:50.627944,37.69,0.0114,40.68,0.015,1000.0,0.02,4.199,95.7,100,0,60.0,2026-05-02T00:23:50.627772,4.227
2026-05-02T00:22:50.706318,37.69,0.0114,40.7,0.0148,1000.0,0.01,4.199,95.7,100,0,60.0,2026-05-02T00:23:50.706149,4.218
2026-05-02T00:22:50.780661,37.69,0.0114,40.71,0.0151,1000.0,0.01,4.199,95.7,100,0,60.0,2026-05-02T00:23:50.780443,4.217
2026-05-02T00:22:51.678060,37.71,0.0114,40.73,0.0153,1000.0,0.01,4.199,95.7,100,0,60.0,2026-05-02T00:23:51.677881,4.218
2026-05-02T00:22:51.756783,37.71,0.0072,40.73,0.0137,1000.0,0.01,4.199,95.7,100,0,60.0,2026-05-02T00:23:51.756612,4.217
2026-05-02T00:22:51.835925,37.71,0.0072,40.73,0.0128,1000.0,0.01,4.199,95.7,100,0,60.0,2026-05-02T00:23:51.835743,4.217
2026-05-02T00:22:52.736652,37.75,0.0023,40.76,0.0112,1000.0,0.01,4.199,95.7,100,0,60.0,2026-05-02T00:23:52.736460,4.217
2026-05-02T00:22:52.819581,37.75,0.0055,39.59,0.0089,1000.0,0.37,4.199,95.7,100,0,60.0,2026-05-02T00:23:52.819366,4.576
2026-05-02T00:22:52.895114,37.75,0.0055,39.59,0.0087,1000.0,0.37,4.199,95.7,100,0,60.0,2026-05-02T00:23:52.894944,4.576
2026-05-02T00:22:53.805211,37.75,0.0055,39.6,0.008,1000.0,0.37,4.199,95.7,100,0,60.0,2026-05-02T00:23:53.804996,4.58
2026-05-02T00:22:53.886505,37.75,0.0073,39.48,0.0088,1000.0,0.41,4.199,95.7,100,0,60.0,2026-05-02T00:23:53.886340,4.62
2026-05-02T00:22:53.971753,37.75,0.0073,39.48,0.0092,1000.0,0.41,4.199,95.7,100,0,60.0,2026-05-02T00:23:53.971382,4.619
2026-05-02T00:22:54.851666,37.78,0.0073,39.5,0.0095,1000.0,0.41,4.199,95.7,100,0,60.0,2026-05-02T00:23:54.851487,4.623
2026-05-02T00:22:54.926506,37.78,0.0073,39.62,0.0098,1000.0,0.37,4.199,95.7,100,0,60.0,2026-05-02T00:23:54.926322,4.582
2026-05-02T00:22:55.864379,37.78,0.0073,39.63,0.0099,1000.0,0.37,4.199,95.7,100,0,60.0,2026-05-02T00:23:55.864242,4.586
2026-05-02T00:22:55.942734,37.78,0.0055,39.63,0.009,1000.0,0.37,4.199,95.7,100,0,60.0,2026-05-02T00:23:55.942370,4.584
2026-05-02T00:22:56.145321,37.78,0.0055,39.63,0.0087,1000.0,0.37,4.199,95.7,100,0,60.0,2026-05-02T00:23:56.138875,4.583
2026-05-02T00:22:56.921697,37.8,0.0055,39.63,0.0085,1000.0,0.37,4.199,95.7,100,0,60.0,2026-05-02T00:23:56.921529,4.586
2026-05-02T00:22:56.997271,37.8,0.0038,39.82,0.0078,1000.0,0.31,4.199,95.7,100,0,60.0,2026-05-02T00:23:56.997109,4.524
2026-05-02T00:22:57.085177,37.8,0.0038,39.82,0.0074,1000.0,0.31,4.199,95.7,100,0,60.0,2026-05-02T00:23:57.084998,4.523
2026-05-02T00:22:57.999486,37.83,0.0023,39.84,0.0069,1000.0,0.31,4.199,95.7,100,0,60.0,2026-05-02T00:23:57.980449,4.525
2026-05-02T00:22:58.217349,37.83,0.0072,40.1,0.0085,1000.0,0.23,4.199,95.7,100,0,60.0,2026-05-02T00:23:58.217146,4.444
2026-05-02T00:22:58.293928,37.83,0.0072,40.1,0.0092,1000.0,0.23,4.199,95.7,100,0,60.0,2026-05-02T00:23:58.293759,4.443
2026-05-02T00:22:59.027749,37.84,0,40.11,0.0077,1000.0,0.23,4.199,95.7,100,0,60.0,2026-05-02T00:23:59.027563,4.443
2026-05-02T00:22:59.104407,37.84,0,40.31,0.0055,1000.0,0.17,4.199,95.7,100,0,60.0,2026-05-02T00:23:59.104229,4.383
2026-05-02T00:22:59.178725,37.84,0,40.31,0.0044,1000.0,0.17,4.199,95.7,100,0,60.0,2026-05-02T00:23:59.178566,4.382
2026-05-02T00:23:00.186840,37.87,0,40.33,0.002,1000.0,0.17,4.199,95.7,98,0,60.0,2026-05-02T00:24:00.186669,4.383
2026-05-02T00:23:00.264550,37.87,0,40.46,0.0022,1000.0,0.13,4.199,95.7,98,0,60.0,2026-05-02T00:24:00.264339,4.342
2026-05-02T00:23:01.099535,37.87,0,40.49,0.0023,1000.0,0.13,4.199,95.7,98,0,60.0,2026-05-02T00:24:01.099311,4.342
2026-05-02T00:23:01.177114,37.89,0.0055,40.59,0.0046,1000.0,0.1,4.199,95.7,98,0,60.0,2026-05-02T00:24:01.176973,4.311
2026-05-02T00:23:01.252106,37.89,0.0055,40.59,0.0064,1000.0,0.1,4.199,95.7,98,0,60.0,2026-05-02T00:24:01.251927,4.31
2026-05-02T00:23:02.156847,37.94,0.0055,40.62,0.0079,1000.0,0.1,4.199,95.7,98,0,60.0,2026-05-02T00:24:02.156698,4.311
2026-05-02T00:23:02.229381,37.94,0.0014,40.73,0.0062,1000.0,0.07,4.199,95.7,98,0,60.0,2026-05-02T00:24:02.229211,4.28
2026-05-02T00:23:02.304922,37.94,0.0014,40.73,0.0059,1000.0,0.07,4.199,95.7,98,0,60.0,2026-05-02T00:24:02.304739,4.279
2026-05-02T00:23:03.213497,37.98,0,40.77,0.0053,1000.0,0.07,4.199,95.7,98,0,60.0,2026-05-02T00:24:03.213329,4.28
2026-05-02T00:23:03.288903,37.98,0,40.84,0.0031,1000.0,0.05,4.199,95.6,98,0,60.0,2026-05-02T00:24:03.288736,4.259
2026-05-02T00:23:03.364331,37.98,0,40.84,0.0023,1000.0,0.05,4.199,95.6,98,0,60.0,2026-05-02T00:24:03.364044,4.258
2026-05-02T00:23:04.267924,38.03,0,40.88,0.001,1000.0,0.05,4.199,95.6,98,0,60.0,2026-05-02T00:24:04.267684,4.259
2026-05-02T00:23:04.518468,38.03,0,40.92,0.0009,1000.0,0.04,4.199,95.6,98,0,60.0,2026-05-02T00:24:04.511190,4.248
2026-05-02T00:23:04.594129,38.03,0,40.93,0.0009,1000.0,0.04,4.199,95.6,98,0,60.0,2026-05-02T00:24:04.593980,4.248
2026-05-02T00:23:05.320662,38.08,0,40.96,0.0011,1000.0,0.04,4.199,95.6,98,0,60.0,2026-05-02T00:24:05.320491,4.248
2026-05-02T00:23:05.397024,38.08,0,40.97,0.0018,1000.0,0.04,4.199,95.6,98,0,60.0,2026-05-02T00:24:05.396866,4.248
2026-05-02T00:23:05.475086,38.08,0,40.97,0.0021,1000.0,0.04,4.199,95.6,98,0,60.0,2026-05-02T00:24:05.474919,4.247
2026-05-02T00:23:06.377716,38.14,0,41.02,0.0024,1000.0,0.04,4.199,95.6,98,0,60.0,2026-05-02T00:24:06.377554,4.247
2026-05-02T00:23:06.453275,38.14,0,40.1,0.0015,1000.0,0.32,4.199,95.6,98,0,60.0,2026-05-02T00:24:06.453090,4.527
2026-05-02T00:23:07.394514,38.14,0,40.13,0.0017,1000.0,0.32,4.199,95.6,98,0,60.0,2026-05-02T00:24:07.394271,4.531
2026-05-02T00:23:07.471591,38.2,0.01,40.14,0.0047,1000.0,0.32,4.199,95.6,98,0,60.0,2026-05-02T00:24:07.471432,4.53
2026-05-02T00:23:07.557281,38.2,0.01,40.15,0.008,1000.0,0.32,4.199,95.6,98,0,60.0,2026-05-02T00:24:07.557096,4.529
2026-05-02T00:23:08.442897,38.26,0.01,40.18,0.0105,1000.0,0.32,4.199,95.5,98,0,60.0,2026-05-02T00:24:08.442727,4.533
2026-05-02T00:23:08.519774,38.26,0.014,40.35,0.0132,1000.0,0.27,4.199,95.5,98,0,60.0,2026-05-02T00:24:08.519584,4.482
2026-05-02T00:23:08.594783,38.26,0.014,40.36,0.0147,1000.0,0.27,4.199,95.5,98,0,60.0,2026-05-02T00:24:08.594619,4.481
2026-05-02T00:23:09.508536,38.31,0.014,40.4,0.0161,1000.0,0.27,4.199,95.5,98,0,60.0,2026-05-02T00:24:09.508371,4.483
2026-05-02T00:23:09.585241,38.31,0.0173,40.64,0.0181,1000.0,0.2,4.199,95.5,98,0,60.0,2026-05-02T00:24:09.585052,4.413
2026-05-02T00:23:09.661077,38.31,0.0173,40.64,0.019,1000.0,0.2,4.199,95.5,98,0,60.0,2026-05-02T00:24:09.660895,4.412
2026-05-02T00:23:10.570407,38.36,0.0173,40.68,0.0197,1000.0,0.2,4.199,95.5,98,0,60.0,2026-05-02T00:24:10.570229,4.413
2026-05-02T00:23:10.645405,38.36,0.0173,40.85,0.0203,1000.0,0.15,4.199,95.5,98,0,60.0,2026-05-02T00:24:10.645234,4.362
2026-05-02T00:23:10.722402,38.36,0.0173,40.86,0.0205,1000.0,0.15,4.199,95.5,98,0,60.0,2026-05-02T00:24:10.722247,4.361
2026-05-02T00:23:11.623283,38.42,0.0122,40.9,0.0187,1000.0,0.15,4.199,95.5,98,0,60.0,2026-05-02T00:24:11.623119,4.362
