timestamp,T_actual,P_actual_gauge,T_predicted,P_predicted,Q_watts,flow_lpm,water_L,eta_instant,health_score,anomaly_flag,prediction_horizon_s,prediction_target_timestamp,L_predicted
2026-05-01T01:01:45.982085,111.09,0.0751,101.88,0.0711,0.0,0.0,0,0.0,100,0,60.0,2026-05-01T01:02:45.981918,4.09
2026-05-01T01:01:51.211228,111.09,0.0751,125.9,1.3745,1000.0,0.0,0,71.1,100,0,60.0,2026-05-01T01:02:51.210870,0.0
2026-05-01T01:01:58.076788,111.09,0.0751,125.77,1.3651,1000.0,0.0,4.199,71.1,100,0,60.0,2026-05-01T01:02:58.075568,0.0
2026-05-01T01:02:07.214284,111.09,0.0841,125.94,1.3775,1000.0,0.0,4.199,71.1,100,0,60.0,2026-05-01T01:03:07.175040,0.0
2026-05-01T01:02:12.709431,111.09,0.0841,125.9,1.3745,1000.0,0.0,4.199,71.1,100,0,60.0,2026-05-01T01:03:12.709303,0.0
2026-05-01T01:02:17.039875,111.09,0.0841,126.27,1.4012,1000.0,0.0,4.199,71.1,100,0,60.0,2026-05-01T01:03:17.039570,0.0
2026-05-01T01:02:22.746404,111.09,0.0861,125.84,1.3698,1000.0,0.0,4.199,71.1,100,0,60.0,2026-05-01T01:03:22.746270,0.0
2026-05-01T01:02:27.900147,111.09,0.0861,126.41,1.412,1000.0,0.0,4.199,71.1,100,0,60.0,2026-05-01T01:03:27.855010,0.0
2026-05-01T01:02:38.410728,111.09,0.0841,126.0,1.3814,1000.0,0.0,4.199,71.1,0,1,60.0,2026-05-01T01:03:38.371500,0.0
2026-05-01T01:02:46.325457,111.09,0.081,125.96,1.3785,1000.0,0.0,4.199,71.1,0,1,60.0,2026-05-01T01:03:46.317001,0.0
2026-05-01T01:02:53.674336,111.09,0.081,126.03,1.3838,1000.0,0.0,4.199,71.1,0,1,60.0,2026-05-01T01:03:53.673913,0.0
2026-05-01T01:03:03.888400,111.08,0.0801,127.39,1.4856,1000.0,0.0,4.199,71.1,0,1,60.0,2026-05-01T01:04:03.888221,0.0
