timestamp,T_actual,P_actual_gauge,T_predicted,P_predicted,Q_watts,flow_lpm,water_L,eta_instant,health_score,anomaly_flag,prediction_horizon_s,prediction_target_timestamp,L_predicted
2026-04-30T23:38:58.248116,95.96,0,94.05,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-30T23:39:58.247947,4.315
2026-04-30T23:38:58.849926,95.96,0,117.22,0.8049,1000.0,0.0,0,76.2,100,0,60.0,2026-04-30T23:39:58.849770,0.0
2026-04-30T23:39:02.038361,95.96,0,117.49,0.8205,1000.0,0.0,4.199,76.2,100,0,60.0,2026-04-30T23:40:02.032775,0.0
2026-04-30T23:39:07.062479,95.96,0,117.54,0.8239,1000.0,0.0,4.199,76.2,100,0,60.0,2026-04-30T23:40:07.062214,0.0
2026-04-30T23:39:10.875272,95.96,0,117.67,0.8312,1000.0,0.0,4.199,76.2,100,0,60.0,2026-04-30T23:40:10.866364,0.0
2026-04-30T23:39:15.308762,95.96,0,118.08,0.8557,1000.0,0.0,4.199,76.2,100,0,60.0,2026-04-30T23:40:15.219685,0.0
2026-04-30T23:39:18.081394,95.96,0,105.39,0.2125,1000.0,0.0,4.199,76.2,100,0,60.0,2026-04-30T23:40:18.075338,0.689
2026-04-30T23:39:19.938609,95.96,0,119.46,0.9396,1000.0,0.0,4.199,76.2,100,0,60.0,2026-04-30T23:40:19.893840,0.0
2026-04-30T23:39:23.544818,95.96,0,118.66,0.891,1000.0,0.0,4.199,76.2,98,0,60.0,2026-04-30T23:40:23.517529,0.0
2026-04-30T23:39:26.530878,95.96,0,117.62,0.8285,1000.0,0.0,4.199,76.2,97,0,60.0,2026-04-30T23:40:26.514861,0.0
2026-04-30T23:39:30.249335,95.96,0,117.62,0.8283,1000.0,0.0,4.199,76.2,96,0,60.0,2026-04-30T23:40:30.182612,0.0
2026-04-30T23:39:34.521460,95.96,0,117.48,0.8201,1000.0,0.0,4.199,76.2,94,0,60.0,2026-04-30T23:40:34.520695,0.0
2026-04-30T23:39:37.973995,95.96,0,117.54,0.8236,1000.0,0.0,4.199,76.2,94,0,60.0,2026-04-30T23:40:37.917846,0.0
2026-04-30T23:39:41.543459,95.96,0,117.68,0.8319,1000.0,0.0,4.199,76.2,93,0,60.0,2026-04-30T23:40:41.543002,0.0
2026-04-30T23:39:45.739322,95.97,0,117.33,0.8113,1000.0,0.0,4.199,76.2,92,0,60.0,2026-04-30T23:40:45.732167,0.0
2026-04-30T23:39:49.147900,95.97,0,117.84,0.8414,1000.0,0.0,4.199,76.2,91,0,60.0,2026-04-30T23:40:49.117486,0.0
2026-04-30T23:39:52.113704,95.97,0,105.66,0.224,1000.0,0.0,4.199,76.2,91,0,60.0,2026-04-30T23:40:52.083553,0.692
2026-04-30T23:39:56.129648,95.98,0,117.77,0.8374,1000.0,0.0,4.199,76.2,90,0,60.0,2026-04-30T23:40:56.088286,0.0
2026-04-30T23:39:59.733712,95.98,0,117.52,0.8225,1000.0,0.0,4.199,76.2,90,0,60.0,2026-04-30T23:40:59.732873,0.0
2026-04-30T23:40:03.344613,95.98,0,117.48,0.8203,1000.0,0.0,4.199,76.2,89,0,60.0,2026-04-30T23:41:03.321463,0.0
2026-04-30T23:40:07.207948,95.98,0,120.37,0.9968,1000.0,0.0,4.199,76.2,88,0,60.0,2026-04-30T23:41:07.148203,0.0
2026-04-30T23:40:10.851365,95.98,0,117.65,0.8302,1000.0,0.0,4.199,76.2,93,1,60.0,2026-04-30T23:41:10.842810,0.0
2026-04-30T23:40:14.983751,95.99,0,117.61,0.828,1000.0,0.0,4.199,76.2,94,0,60.0,2026-04-30T23:41:14.953474,0.0
2026-04-30T23:40:17.759055,95.99,0,100.79,0.0302,1000.0,0.0,4.199,76.2,94,0,60.0,2026-04-30T23:41:17.707124,1.385
2026-04-30T23:40:18.921482,95.99,0,101.35,0.0508,1000.0,0.0,4.199,76.2,95,0,60.0,2026-04-30T23:41:18.921025,1.433
2026-04-30T23:40:22.308480,95.99,0,118.77,0.8977,1000.0,0.0,4.199,76.2,97,0,60.0,2026-04-30T23:41:22.279558,0.0
2026-04-30T23:40:25.732084,95.99,0,117.58,0.826,1000.0,0.0,4.199,76.2,97,0,60.0,2026-04-30T23:41:25.693327,0.0
2026-04-30T23:40:28.761872,95.99,0,117.65,0.8302,1000.0,0.0,4.199,76.2,95,0,60.0,2026-04-30T23:41:28.742832,0.0
2026-04-30T23:40:32.834941,96.01,0,117.53,0.8229,1000.0,0.0,4.199,76.2,95,0,60.0,2026-04-30T23:41:32.781685,0.0
2026-04-30T23:40:36.593698,96.01,0,117.57,0.8255,1000.0,0.0,4.199,76.1,94,0,60.0,2026-04-30T23:41:36.580758,0.0
2026-04-30T23:40:43.151292,96.01,0,117.52,0.8224,1000.0,0.0,4.199,76.1,94,0,60.0,2026-04-30T23:41:43.126750,0.0
2026-04-30T23:40:47.337485,96.01,0,117.59,0.8265,1000.0,0.0,4.199,76.1,94,0,60.0,2026-04-30T23:41:47.337137,0.0
